종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"168580","ACE 중국본토CSI300","28670","130","0.46","28883.85","28540","28700","28320","18741","536747123","112386400000","0","3920000","CSI 300 Index","4058.55","24.06","0.60"
"219900","ACE 중국본토CSI300레버리지(합성)","3155","40","1.28","3215.27","3115","3175","3115","3824","11988505","6310000000","0","2000000","CSI 300 Index","4058.55","24.06","0.60"
"272910","ACE 중장기국공채액티브","108870","-55","-0.05","108900.50","108830","108870","108810","132","14366145","60640590000","0","557000","KIS 종합채권국공채1-10Y지수","156.42","0.17","0.11"
"371870","ACE 차이나항셍테크","8195","55","0.68","8248.86","8140","8240","8120","66445","543599248","20487500000","0","2500000","Hang Seng TECH Index","5538.83","89.98","1.65"
"496120","ACE 코리아밸류업","12795","-60","-0.47","12814.94","12940","12940","12755","1403","18026025","11515500000","0","900000","코리아 밸류업 지수","1276.85","-6.17","-0.48"
"354500","ACE 코스닥150","13810","155","1.14","13876.05","13725","13870","13685","15524","213822928","24858000000","0","1800000","코스닥 150","1381.13","11.66","0.85"
"305050","ACE 코스피","32875","-125","-0.38","33001.02","33290","33290","32800","9677","319057025","13150000000","0","400000","코스피","3188.07","-4.22","-0.13"
"457480","ACE 테슬라밸류체인액티브","15340","25","0.16","15294.77","15245","15345","15215","1341995","20516619867","955682000000","0","62300000","Bloomberg EV Supporters Plus Tesla Price Return Index","7117.43","229.83","3.34"
"469170","ACE 포스코그룹포커스","5375","340","6.75","5370.29","5145","5490","5135","3377995","18118211022","63962500000","0","11900000","FnGuide 포스코그룹포커스 지수(시장가격)","2687.71","162.22","6.42"
"261920","ACE 필리핀MSCI(합성)","13685","100","0.74","13701.58","13645","13800","13580","564","7680680","5474000000","0","400000","MSCI Philippines IMI Index","1577.34","5.03","0.32"
"495710","BNK 26-06 특수채(AAA이상)액티브","51095","0","0.00","51089.50","51095","51095","51095","1","51095","108014830000","0","2114000","KAP 26-06 특수채 총수익 지수(AAA이상)","106.39","0.01","0.01"
"466810","BNK 2차전지양극재","4675","260","5.89","4670.69","4495","4725","4495","79003","365442265","4675000000","0","1000000","iSelect 2차전지양극재 지수","3619.27","189.60","5.53"
"457930","BNK 미래전략기술액티브","14630","65","0.45","14618.40","14565","14630","14565","11","160280","8778000000","0","600000","iSelect 미래전략기술 지수 (PR)","3329.35","13.70","0.41"
"487750","BNK 온디바이스AI","8560","-25","-0.29","8571.01","8585","8585","8510","3465","29614265","4708000000","0","550000","FnGuide 온디바이스AI 지수","2304.85","-6.58","-0.28"
"445690","BNK 주주가치액티브","18290","-60","-0.33","18237.39","18485","18485","18125","5769","105113945","20119000000","0","1100000","FnGuide 주주가치 지수","2721.51","-18.85","-0.69"
"486240","DAISHIN343 AI반도체&인프라액티브","9465","-60","-0.63","9503.79","9550","9590","9415","1794","16947975","16090500000","0","1700000","FnGuide AI반도체&인프라 지수","3401.04","-6.85","-0.20"
"434960","DAISHIN343 K200","43745","-15","-0.03","43800.25","43835","43950","43530","15788","689887835","39370500000","0","900000","코스피 200","431.10","-0.54","-0.13"
"448570","FOCUS AI코리아액티브","15630","-70","-0.45","15676.70","15700","15750","15585","3121","48792520","38293500000","0","2450000","코스피","3188.07","-4.22","-0.13"
"285690","FOCUS ESG리더스","13950","0","0.00","13968.59","13855","13950","13855","19","263340","12555000000","0","900000","KRX ESG Leaders 150","2151.83","-5.55","-0.26"
"292730","FOCUS KRX300","20915","80","0.38","20905.07","20915","20915","20915","1","20915","4183000000","0","200000","KRX 300","1974.97","-0.77","-0.04"
"0073X0","FOCUS 알리바바미국채커버드콜혼합","10190","0","0.00","10238.59","10190","10190","10165","2529","25764240","8152000000","0","800000","KEDI 알리바바미국채커버드콜혼합지수(TR)","1060.85","9.08","0.86"
"293180","HANARO 200","43450","-30","-0.07","43480.20","43670","43670","43225","12954","562260235","386705000000","0","8900000","코스피 200","431.10","-0.54","-0.13"
"407310","HANARO 200 TOP10","8865","55","0.62","8841.55","8860","8890","8820","188","1662150","12854250000","0","1450000","코스피 200 Top 10 지수","1372.44","-0.87","-0.06"
"332930","HANARO 200TR","56140","-60","-0.11","56183.42","56345","56360","55865","3721","208369170","112280000000","0","2000000","코스피 200 TR","563.80","-0.71","-0.13"
"304780","HANARO 200선물레버리지","27755","-85","-0.31","27787.27","27895","28090","27510","379","10523175","52734500000","0","1900000","코스피 200 선물지수","2132.39","-1.23","-0.06"
"486780","HANARO 200선물레버리지1.5X","16845","40","0.24","16854.10","16805","16845","16675","20140","339251630","4042800000","0","240000","코스피 200 선물지수","2132.39","-1.23","-0.06"
"306520","HANARO 200선물인버스","8105","15","0.19","8098.62","8080","8140","8070","177","1431695","2836750000","0","350000","코스피 200 선물지수","2132.39","-1.23","-0.06"
"489570","HANARO 25-12 은행채(AA+이상)액티브","10275","15","0.15","10270.65","10275","10275","10275","12","123300","112614000000","0","10960000","KIS 은행채2512만기형 지수","106.41","0.02","0.02"
"448490","HANARO 32-10 국고채액티브","57615","160","0.28","57697.10","57580","57690","57535","1833","105629575","39984810000","0","694000","KAP 32-10 국고채 10년 총수익지수","114.18","0.34","0.30"
"454320","HANARO CAPEX설비투자iSelect","23940","160","0.67","23992.99","23875","24145","23640","13062","312098752","57456000000","0","2400000","iSelect CAPEX 설비투자 지수(시장가격)","3505.81","22.29","0.64"
